,,,,,,,,
,,,,,,,,
,,DESCRIPCIÓN PAGO,CATEGORIA,VALOR,FECHA,Columna 1,Total,"$142,862,904"
,,Primer pago de Manuel acero - vivero cafe,Earth Park,"$3,000,000",20-10-2025,,Earth Park,"$46,035,035"
,,primer pago Alexander pintor 309,PROAS,"$800,000",4-11-2025,,PROAS,"$22,823,300.00"
,,primer pago jairo pisso,PROAS,"$2,000,000",5-11-2025,,APTO 204,"$58,847,069.00"
,,segundo pago de Manuel acero - vivero cafe,Earth Park,"$2,800,000",5-11-2025,,CAMIONETA,"$5,778,100.00"
,,Transporte bogota tocancipa retasos madera,PROAS,"$350,000",6-11-2025,,,
,,Baldosa proas desde SOPÓ,PROAS,"$500,000",8-11-2025,,,
,,Techo PVC,Earth Park,"$4,000,000",8-11-2025,,,
,,Maestro Alex,PROAS,"$1,000,000",10-11-2025,,,
,,Pago domicilio vinos,FAMILIAR,"$100,000",10-11-2025,CRUCE DE CUENTAS - SE LE DEBE A LA CAJA,,
,,pago de fotos de grado uniandes,FAMILIAR,"$200,000",10-11-2025,CRUCE DE CUENTAS - SE LE DEBE A LA CAJA,,
,,Maestro Alex,PROAS,"$500,000",13-11-2025,,,
,,Pago Manuel Acero Earth Park,Earth Park,"$3,000,000",15-11-2025,,,
,,Devolución préstamo Jaiver ,Earth Park,"$2,000,000",17-11-2025,,,
,,Maestro Alex,PROAS,"$1,000,000",18-11-2025,,,
,,Pago Jairo - PROVEEDOR METALES Y MADERAS BOGOTA,PROAS,"$4,106,500",19-11-2025,,,
,,Compra electricos apto 309,PROAS,"$296,000",19-11-2025,,,
,,ACCESORIOS BAÑO NEGRO,PROAS,"$210,000",19-11-2025,CRUCE DE CUENTAS - CAJA LE DEBE A DAVID,,
,,PLAN DE EARTH PARK ,Earth Park,"$45,000",19-11-2025,CAJA LE DEBE A DAVID,,
,,Pago mano de obra de puertas,PROAS,"$840,000",20-11-2025,,,
,,Pago de materiales Earth park,Earth Park,"$2,000,000",20-11-2025,,,
,,COMPRA DE MATERIALES OLGUITA,Earth Park,"$2,281,000",20-11-2025,,,
,,PAGO A ALEXADNER,PROAS,"$100,000",22-11-2025,YA SE CRUZO DINERO CON DAVID,,
,,COMPRA NUEVAS LUCES,PROAS,"$71,000",24-11-2025,PARA MACANAL SE LLEVAN 6 LUCES DE SOBREPONER DE 36W,,
,,PAGO A VIDRIOS MACANAL,Earth Park,"$3,000,000",25-11-2025,,,
,,PAGAR A ALAXANDER SALDO,PROAS,"$1,500,000",26-11-2025,PAGO DE VENTANA Y DIVISIÓN,,
,,COMPRA DE LAVAMANOS.DUCHA Y OTROS,PROAS,"$840,000",26-11-2025,,,
,,PANEL SOLAR RGB 200W,Earth Park,"$270,000",26-11-2025,,,
,,TOME DE TIMBRE,PROAS,"$8,000",26-11-2025,,,
,,REMODELACIÓN BAÑO EARTH PARK,Earth Park,"$425,000",26-11-2025,,,
,,DINERO JHONFER PRESTAMO,Earth Park,"$2,000,000",26-11-2025,,,
,,PAGAR SALDO FINAL DE ALEXANDER,PROAS,"$1,500,000",27-11-2025,PAGO DE MANO OBRA FINAL ,,
,,2 CANALETAS Y TAPA CIEGA NEGRA,PROAS,"$29,000",29-11-2025,,,
,,PAGO DE CORTINAS YILMAR VACA,Earth Park,"$1,300,000",2-12-2025,,,
,,PAGO DE CORTINAS YILMAR VACA,Earth Park,"$1,400,000",4-12-2025,,,
,,REFLECTORES RGB SOLARES PARQUE,Earth Park,"$945,000",4-12-2025,,,
,,LUCES NAVIDEÑAS PARQUE,Earth Park,"$685,000",4-12-2025,,,
,,CAMBIO DE ACEITE UFZ624 TOCANCIPA,CAMIONETA,"$299,000",5-12-2025,,,
,,COMPRA DE PELICULA PARA VENTANA HOTEL - HOMECENTEER,Earth Park,"$199,800",5-12-2025,,,
,,COMPRA PAVO - LOMITAS,Earth Park,"$96,000",5-12-2025,,,
,,GASOLINA CAMIONETA UFZ624,CAMIONETA,"$64,000",5-12-2025,,,
,,Transferencia NINFA MARTINEZ COMPRA APTO 204,APTO 204,"$23,848,203",9-12-2025,,,
,,Transferencia EDIFICIO 4 TORRES - ADMIN APTO 204,APTO 204,"$6,151,797",9-12-2025,,,
,,COMPRA VOLANTE EMBRAGUE CAMIOENTA UFZ624,CAMIONETA,"$2,900,000",12-12-2025,,,
,,PAGO TRNASPORTE MATERIALES - FABIAN ROJAS,Earth Park,"$300,000",12-12-2025,,,
,,DAVID R DEBE CROQUETAS,,"$100,000",12-12-2025,,,
